epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,3.4770159758638,0.1592924126172208,3.0499072177330855,0.16508951406649616,0.00013173633878518602,265.56146478652954
2,1.8056721751071336,0.6552713839158852,0.8282833929257015,0.9066496163682864,0.00037188053908361737,248.89413237571716
3,0.8491474920458738,0.8981528843421427,0.6128603308097176,0.9576726342710997,0.0006686411437458169,248.27613353729248
4,0.7062183035575181,0.9374111963626031,0.5529986076952551,0.980690537084399,0.0009085859387410008,251.87893509864807
5,0.6407491448827344,0.9545041204887752,0.5251120520369781,0.9855498721227621,0.000999999963748155,249.97122502326965
6,0.6008349083370361,0.965416311452117,0.5047861265709334,0.9846547314578005,0.0009890342224779863,243.70622968673706
7,0.5740958210486314,0.9713554987212276,0.4802646100368646,0.9898976982097186,0.0009566954264485708,245.11302161216736
8,0.5534308413884693,0.9765842568911622,0.4744193764598778,0.9924552429667519,0.0009043969362251543,247.28566551208496
9,0.5400093117435062,0.9786018755328219,0.4609402891772482,0.9914322250639386,0.0008344244467864994,244.88692331314087
10,0.5289103861931002,0.9809605001420858,0.4521301741490279,0.9925831202046036,0.0007498360916863318,249.84654331207275
11,0.5172006996662382,0.9836175049730037,0.4509161437563884,0.9927109974424553,0.000654328787942491,257.0783865451813
12,0.5087455985321854,0.9850951974992895,0.4445197628587103,0.9934782608695653,0.0005520766630234728,248.03457140922546
13,0.5011336251055866,0.9863171355498721,0.4364446890780993,0.9939897698209719,0.0004475486254483718,252.5744571685791
14,0.4951495934020528,0.986999147485081,0.4341842286574566,0.9937340153452685,0.0003453130520403934,248.11239099502563
15,0.48829564825653116,0.9888320545609548,0.43228738192097305,0.9938618925831202,0.0002498381279381769,244.72418212890625
16,0.48379553158231065,0.9899545325376528,0.4291696508369787,0.9942455242966752,0.0001652965654645047,246.67860627174377
17,0.48007438678604597,0.9902671213412901,0.4280637476755225,0.9943734015345268,9.538323657490193e-05,243.7666666507721
18,0.4771724603331269,0.9913469735720375,0.42574224281493966,0.9947570332480818,4.315368922321732e-05,241.17237305641174
19,0.4758249721089423,0.9912048877522023,0.4262888703962116,0.9947570332480818,1.0890605253894027e-05,245.15936136245728
20,0.47527258774542475,0.991773231031543,0.4255782362445236,0.9947570332480818,4.036251845013037e-09,244.60079860687256
